COD_ESCOLA,AFDG1,AFDG2,AFDG3,AFDG4,AFDG5,ATU_TOTAL,DSU_TOTAL,ICG_ESCOLA,NIVEL1,NIVEL2,NIVEL3,NIVEL4,NIVEL5,NIVEL6,IRD_ESCOLA,TDI_TOTAL,TAPROV,TREPROV
26130203,58.30,0.00,41.70,0.00,0.00,29.00,100.00,"Nível 3",0.00,23.10,0.00,61.50,0.00,15.40,2.20,17.80,100.00,0.00
26130319,53.90,0.00,41.60,4.50,0.00,38.90,100.00,"Nível 4",0.00,0.00,33.30,33.30,16.70,16.70,3.20,35.20,92.50,3.70
26130386,42.50,0.80,54.30,2.40,0.00,35.20,100.00,"Nível 5",0.00,6.70,16.70,33.30,20.00,23.30,3.40,30.80,98.90,1.10
26130521,47.20,0.00,47.20,0.00,5.60,33.20,88.90,"Nível 2",0.00,0.00,44.50,44.40,11.10,0.00,2.20,10.60,97.40,2.60
26130947,40.10,4.10,46.80,4.10,4.90,39.20,96.40,"Nível 6",0.00,0.00,7.20,46.40,21.40,25.00,3.50,34.40,95.80,4.20
26131528,45.80,0.00,46.50,0.00,7.70,36.50,95.00,"Nível 4",0.00,10.00,45.00,30.00,10.00,5.00,3.80,26.80,94.60,5.20
26131668,55.20,2.20,35.00,7.60,0.00,43.00,100.00,"Nível 5",0.00,0.00,4.20,58.30,16.70,20.80,3.70,36.70,97.80,2.20
26131684,55.60,4.20,37.50,2.70,0.00,41.50,100.00,"Nível 4",0.00,0.00,36.80,36.80,5.30,21.10,4.40,6.20,92.80,7.00
26131692,59.60,0.00,34.00,6.40,0.00,29.50,100.00,"Nível 5",0.00,0.00,6.70,26.70,33.30,33.30,3.00,31.40,100.00,0.00
26132001,35.90,0.00,38.50,2.60,23.00,16.30,84.60,"Nível 6",7.70,7.70,0.00,30.80,53.80,0.00,3.60,18.40,94.10,5.90
26132230,62.40,0.00,37.60,0.00,0.00,31.90,100.00,"Nível 3",0.00,6.20,37.50,25.00,31.30,0.00,3.20,2.70,97.60,2.40
26132735,30.00,0.00,58.30,11.70,0.00,26.40,100.00,"Nível 4",0.00,11.10,0.00,77.80,11.10,0.00,3.00,10.60,96.20,3.80
26133199,33.30,0.00,25.00,0.00,41.70,21.30,50.00,"Nível 3",0.00,20.00,20.00,40.00,10.00,10.00,3.10,14.10,84.40,15.60
26133920,36.80,0.00,61.00,0.00,2.20,37.60,95.80,"Nível 4",4.20,4.20,25.00,20.80,20.80,25.00,3.70,33.90,78.80,11.20
